RecordNumber,Company_Name,Address,Phone,FAX,Notes,Website
369,ALLPRO Direct Marketing,"11626 Prosperous Drive Odessa, FL 33556",727-494-0703,,"...ALLPRO Direct Marketing is a cost effective full service marketing firm offering complete turnkey direct mail, printing, internet and 1:1...",http://www.allprodirectmarketing.com
370,"BMI Ventures, Inc.","1801 South Federal Highway Suite 245B Delray Beach, FL 33483",561-330-6666,,"...We are not the East Coast's biggest advertising agency, and we are fine with that. We are, however, a savvy...",http://www.bmielite.com
371,DHL Global Mail,"2700 South Commerce Parkway Suite 400 Weston, FL 33331-3631",800-805-9306,954-349-8480 fax,...DHL Global Mail provides expedited mail solutions that connect businesses to customers throughout the U.S. and 220 other countries and...,http://www.dhlglobalmail.com/
372,"Direct One, Inc.","7224 Sandscove Ct Ste 7 Winter Park, FL 32792-6903",407-673-4500,407-673-4501 fax,...Direct one is a complete service direct mail company specializing in variable high speed Laser printing and Data Processing.Our highly...,http://www.directoneinc.com
373,eGENTIC dba Planet49 North America Corp.,"3252 NE 1st Ave., Suite 205 Miami, FL 33137",786-453-0353,786-453-0358 fax,"...eGENTIC, formerly Planet49, is one of the leading providers for data generation and is active in 16 european countries, the...",http://www.egentic.com
374,"eTargetMedia.com, Inc.","6810 Lyons Technology Circle Suite 160 Coconut Creek, FL 33073",954-480-8470,954-480-8489 fax,...eTargetMedia provides its clients with the resources and experience to develop and implement highly effective advertising and marketing solutions that...,http://www.etargetmedia.com
375,Geoscape,"2100 West Flagler St. Miami, FL 33135",305-860-1460,305-860-6161 fax,"...Geoscape® provides strategic consulting, analytics, market intelligence systems and data to corporations seeking growth by capitalizing on opportunities in culturally...",http://www.geoscape.com
376,Global Response,"777 State Road 7 Margate, FL 33068",800-537-8000,954-968-9862 fax,"...Global Response is ""The Brand Care Call Center"". We specialize in delivering high-touch customer care for the world's top multichannel...",http://www.globalresponse.com
377,Media One,"1000 NW 65th St Suite 200 Ft Lauderdale, FL 33309",954-776-1197,,"...Media One's postal, email, phone/cell data; email broadcast services; database & append services; as well as creative services provide a...",http://www.media1llc.com
378,Media Source Solutions,"950 S Pine Island Rd Ste A-150 Plantation, FL 33324",954-788-0213,954-788-0215 fax,"...Through extensive research, trend analysis and database partnerships, we have developed a variety of mixed media marketing techniques. This enables...",http://www.mediasourcesolutions.com
379,Nature Trade Center,"1915 Trade Center Way Naples, FL 34109-6220",239-592-7611,,"...Comprehensive Services for All Channels Nature Trade Direct is a full-service, integrated direct response marketing agency with 21 years of experience...",http://www.naturetradedirect.com/index.html
380,"Newsmax Media, Inc.","P.O. Box 20989 West Palm Beach, FL 33416",888-766-7542 x 1237,561-686-3350 fax,...Newsmax Media is one of the largest independent news outlets in the nation. Each month we reach some 50...,http://www.newsmax.com/advertise
381,"Nexxa Group, Inc.","12165 Metro Pkwy Ste 24 Ste 24 Fort Myers, FL 33966-8303",239-225-1516,239-288-4968 fax,...Nexxa Group Inc. is a Direct Marketing Data & Database Solutions Provider specializing in providing both Resellers and End Users...,http://www.nexxagroup.com
382,Nordis Direct,"4401 NW 124th Avenue Coral Springs, FL 33065-7636",954-323-5500,954-323-0100 fax,"...Nordis Direct, headquartered in Coral Springs, Florida, is one of the largest independent business solution providers specializing in high-tech direct...",http://www.nordisdirect.com
383,Parker Software,"4767 New Broad St Orlando, FL 32814",800-680-7712,,...Parker Software develop innovative software aimed at companies that do business on the web. Parker Software produce two flagship products:...,http://www.parker-software.com/
384,"Rapid Progress Marketing & Modeling, LLC","1760 Delaware Avenue NE Saint Petersburg, FL 33703-5439",727-528-8578,866-274-3030 fax,"...With 30 years of experience, RPM is a proven leader in the areas of predictive model development, analytics, database marketing,...",http://www.RPMSquared.com
385,Sir Speedy # 55371,"6161 Miami Lakes Drive East Hialeah, FL 33014",305-558-0144,,...At Sir Speedy Miami Lakes we pride ourselves as a leader in the business services market by offering advanced technologies...,http://www.sirspeedymiamilakes.com
386,"Spectra Data Group, LLC","7301 Wiles Road Suite 103 Coral Springs, FL 33067",888-656-1689,954-796-9398 fax,"...Spectra Data Group is a leading provider of direct marketing lists, data solutions and multi-channel marketing services including direct mail,...",http://www.spectra-data.com
387,Worldata,"3000 N. Military Trail Boca Raton, FL 33431-6321",800-331-8102,561-368-8345 fax,"...Worldata and its Group of Companies are leaders in the Direct/Interactive Marketing services field for over 30 years. Worldata, headquartered...",http://www.worldata.com
388,American Writers & Artists Inc.,"245 NE 4th Avenue, Suite 102 Delray Beach, FL 33483",561-278-5557,561-278-5929 fax,,
389,BankAtlantic,"2100 W Cypress Creek Rd Fort Lauderdale, FL 33309-1823",954-940-5000,,,
390,BBF Integrated Solutions,"10950 Belcher Rd. Largo, FL 33777-1438",727-545-8703,,,
391,Beer Industry of Florida,"110 South Monroe Street Suite B Tallahassee, FL 32301",850-222-8960,,,
392,BenefitMall,"6750 N. Andrews Ave Ste 125 Fort Lauderdale, FL 33309",954-771-2915,,,
393,Blue Cross Blue Shield of Florida,"4800 Deerwood Campus Pkwy DCC 3-6 Jacksonville, FL 32246-6498",904-905-3196,,,
394,Broadwater Data,"4905 34th Street S, Ste 152 Saint Petersburg, FL 33711",,,,
395,Cade & Associates,"1645 Metropolitan Blvd. Tallahassee, FL 32308",850-385-0300,,,
396,Catalogs.com,"2800 Glades Circle Ste. 135 Fort Lauderdale, FL 33327",954-659-9005,954-659-9007 fax,,
397,CityTwist,"111 SE 1st Street Boca Raton, FL 33432",561-989-8480,866-466-1712 fax,,
398,ClickBooth,"301 N. Cattlemen Road, Suite 300 Sarasota, FL 34232",941-483-4188,941-296-7911 fax,,
399,ConnectWise,"2803 W Busch Blvd Ste 204 Tampa, FL 33618-4548",813-463-4700,,,
400,Data Partners,"12857 Banyan Creek Drive Fort Myers, FL 33908",866-423-1818,239-267-9043 fax,,
401,DigDev Direct,"260 SW Natura Ave 2nd Floor Deerfield Beach, FL 33441",954-949-9500,,,
402,Digital Target Marketing,"224 Datura Street Suite 1300 West Palm Beach, FL 33406",561-398-1929,,,
403,Direct Marketing LeadSource,"750 Oak Heights Court Suite 305 Port Orange, FL 32127",386-761-4840,386-761-2960 fax,,
404,"Dunhill International List Co., Inc.","6400 Congress Avenue Suite 1750 Boca Raton, FL 33487-2898",561-998-7800,561-998-7880 fax,,
405,"Food For The Poor, Inc.","6401 Lyons Rd Coconut Creek, FL 33073-3602",954-427-2222,,,
406,"Four Corners Direct, Inc.","1990 Main Street, PH 16 Sarasota, FL 34236-8001",941-364-8585,,,
407,GlobalVentions,"PO Box 278497 Pembroke Pines, FL 33028",561-904-1131,,,
408,Hi-Tech Marketing Solutions,"3410 NE 6 Terrace Pompano Beach, FL 33064",954-784-3840,954-784-3830 fax,,
409,Interval International,"6262 Sunset Dr. PH-1 Miami, FL 33143",305-666-1861,305-668-3480 fax,,
410,Iscope Digital,"201 SE 15th Terrace, Suite 204 Deerfield Beach, FL 33441",954-596-5874,,,
411,Johnson Smith Company,"P. O. Box 25500 4514 19th St., Ct. E. Bradenton, FL 34206-5500",941-747-5566,,,
412,JZ Marketing,"4532 Varsity Circle Lehigh Acres, FL 33971",239-693-7567,239-693-7567 fax,,
413,Lead Me Media,"8927 Hypoluxo Road Suite A-4 Lake Worth, FL 33467-5249",888-445-3282,,,
414,"LeadCreations.Com, LLC","605 Lincoln Rd #460 Miami Beach, FL 33139",305-831-0999,,,
415,LeadFlash,"6700 Broken Sound Pkwy NW Boca Raton, FL 33487",561-499-3329,,,
416,"Lexington International, LLC","777 Yamato Rd #105 Boca Raton, FL 33431",561-314-2430,,,
417,Lighthouse List Co.,"27 SE 24th Ave. Ste. 6 Pompano Beach, FL 33062-5346",800-684-2180,954-489-3040 fax,,
418,"List Management Services, Inc.","5728 Major Blvd Suite 650 Orlando, FL 32819-7938",407-876-5544,888.433.5552 fax,,
419,ListAbility Inc,"11841 Granite Woods Loop Venice, FL 34292",866-446-2055,941-493-2572 fax,,
420,"LISTS, Inc.","2950 Halcyon Ln Suite 401 Jacksonville, FL 32223",904-733-6106,904-730-7540 fax,,
421,Lois Geller Marketing Group,"2028 Harrison St. Suite 202 Hollywood, FL 33020",646-723-3231,954-921-2005 fax,,
422,"LOTSolutions, Inc.","100 West Bay St. Jacksonville, FL 32202-3838",904-350-9660,,,
423,M.D.I. Lists,"4581 Weston Rd Ste. 192 Weston, FL 33331",954-384-1557,954-389-0939 fax,,
424,"MetaResponse Group, Inc.","700 West Hillsboro Blvd. Suite 4-107 Deerfield Beach, FL 33441-1612",954-360-0644,954-360-7712 fax,,
425,MoreVisibility,"925 S. Federal Hwy. #750 Boca Raton, FL 33432-6147",561-620-9682,561-620-9684 fax,,
426,New York Life Insurance Company/AARP,"5505 W Cypress St Ste 300 Tampa, FL 33607-1707",813-288-5500,,,
427,One World Telecom,"2620 SW 27th Ave Miami, FL 33133",786-664-6100 EXT 6672,,,
428,Orlando/Orange County Convention & Visitors Bureau,"6700 Forum Dr Ste 100 Orlando, FL 32821-8086",407-541-4239,,,
429,Palm Coast Data,"11 Commerce Blvd Palm Coast, FL 32164-7961",386-445-4662,386-446-3635 fax,,
430,QUAXAR,"25 SE 2nd Avenue Suite 305 Miami, FL 33131",305-350-1919,305-375-9520 fax,,
431,"Redi-Data, Inc.","4577 Nob Hill Rd. Suite 211 Sunrise, FL 33351",866-977-3282,,,
432,Royal Caribbean International,"1080 Caribbean Way Miami, FL 33132",305-539-6000,,,
433,Sage,"4301 West Boy Scout Boulevard Suite 800 Tampa, FL 33607",877-932-6301,,,
434,Sir Speedy 5025 (Leda Printing Inc),"3939 S. Tamiami Trail Sarasota, FL 34231",941-922-1563,,,
435,Sir Speedy 55470,"430 Clematis St West Palm Beach, FL 33401",561-833-9661,561-833-9695 fax,,
436,Sir Speedy Printing and Marketing Services,"5609 E Hillsborough Ave Tampa, FL 33610",813-623-5478,,,
437,Southern Fulfillment Services,"1650 90th Ave Vero Beach, FL 32966",772-226-3521,,,
438,The Alesco Data Group,"5276 Summerlin Commons Way #703 Fort Myers, FL 33907",239-275-5006,239-275-7737 fax,,
439,The Information Engine,"9105 Hammock Edge Place Bradenton, FL 34212",,,,
440,The Media Crew,"1 S Orange Ave Ste 405 Orlando, FL 32801-2626",407-839-0390,407-841-7582 fax,,
441,The Miami Herald Media Co.,"1 Herald Plz Miami, FL 33132-1609",305-350-2111,,,
442,Thomas Computer Corporation,"203 Park Lake St Orlando, FL 32803-3823",407-855-2020,,,
443,"Transcription South, Inc. (TSI)","13555 Automobile Blvd. Suite 530 Clearwater, FL 33762",727-571-3302,727-571-1317 fax,,
444,"U.S. Branding Group, LLC","6707 S. Calumet Circle Lake Worth, FL 33467",561-966-8070,561-966-0566 fax,,
445,Valpak,"8605 Largo Lakes Drive Largo, FL 33773-4912",727-399-3000,727-399-3061 fax,,
446,"Venus Fashion, Inc","11711 Mario Beach Drive Jacksonville, FL 32224",904-645-6000,,,
447,"White Point Leads Group, LLC","362 Gulf Breeze Pkwy Suite 350 Gulf Breeze, FL 32561-4492",850-934-5577,,,
448,"AnalyticsIQ, Inc.","115 Perimeter Center Place, Suite 648 Atlanta, GA 30346",770-407-8856,770-407-8859 fax,...AnalyticsIQ offers the following services:? Marketing Models - We provide custom marketing models to meet your specific needs....,http://www.analytics-iq.com
449,"BAM! Direct, Inc.","3651 Peachtree Parkway Ste. E-211 Suwanee, GA 30024",678-947-1943,678-947-3562 fax,"...Targeted Cross-Media Marketing: Test > Measure > Know what works. Strategically integrate direct marketing media: Direct Mail, Email, personalized URLs, QR...",http://www.bamdirect.com
450,BKV,"3390 Peachtree Road 10th Floor Atlanta, GA 30326",404-233-0332,404-233-0302 fax,"...BKV is a full service, ROI-focused direct response and interactive agency. Our staff of 180+ has deep DR experience....",http://www.BKV.com
451,dDirect,"2707 Peachtree Square Atlanta, GA 30360",678-530-0752,678-530-9563 fax,"...Why dDirect!? Services: Database Marketing -- Our unique combination of direct marketing strategy, data management, digital print and mail and creative services...",http://www.ddirect.com
452,Goldleaf Data Corporation,"3325 Paddocks Parkway Suite 355 Suwanee, GA 30024",678-341-1315,,"...Based in Suwanee, Georgia, Goldleaf Data is a world-class supplier of up-to-the-minute data for growing businesses.The Corporation was started in...",http://www.GoldleafData.com
453,Grizzard Communications Group,"229 Peachtree St., N.E. Ste. 1400 Atlanta, GA 30303",404-522-8330,404-335-0313 fax,"...Grizzard Communications Group is the leading integrated, all-media, direct marketing fundraising agency in North America. The agency has a...",http://www.grizzard.com
454,Harland Clarke Marketing Services,"2939 Miller Road Decatur, GA 30035",770-593-5502,,"...Harland Clarke Marketing Services offers smart, innovative solutions to financial institutions that help acquire, grow and retain account holders. Whether...",http://www.harlandclarke.com/marketing
455,"Peachtree Data, Inc.","2905 Premiere Parkway Suite 200 Duluth, GA 30097-5240",678-987-4600,678-987-5600 fax,"...Peachtree Data offers database, mailing list, data conversion and managed data storage services, with a focus on the Direct Marketing...",http://www.peachtreedata.com
456,Silverpop,"200 Galleria Pkwy Suite 1000 Atlanta, GA 30339-5945",866-745-8767,678-247-0501 fax,"...Silverpop is a leading provider of email marketing and marketing automation solutions. It helps turn prospects into customers, and customers...",http://www.silverpop.com
457,Tucker Connect,"3500 McCall Place NW Atlanta, GA 30340",770-454-4444,,...The business world is competitive and it takes a strong understanding of marketing techniques to develop name recognition in any...,http://www.tuckercastleberry.com
458,"A Caldwell List Co., Inc.","3295 River Exchange Dr. Suite 380 Atlanta, GA 30092-4248",770-662-0255,770-662-0351 fax,,
459,AFLAC,"1932 Wynnton Road Columbus, GA 31999",706-243-5428,,,
460,AirTran Airways,"5230 Clipper Drive Suite 100 Atlanta, GA 30349",678-254-7450,770-994-6249 fax,,
461,American 3B Scientific,"2189 Flintstone Dr Ste O Tucker, GA 30084-5023",770-492-9111,,,
462,American Cancer Society,"250 Williams St NW Atlanta, GA 30303-1032",404-471-5852,,,
463,CARE,"151 Ellis St NE Atlanta, GA 30303-2420",404-979-9255,,,
464,Char-Broil,"1442 Belfast Ave Columbus, GA 31904-4432",706-571-7000,,,
465,Coverdell & Company,"1200 Abermathy Rd Ste 1400 Atlanta, GA 30328",404-881-2227,,,
466,Definition 6,"2115 Monroe Dr NE Ste 100 Atlanta, GA 30324-4832",404-870-0323,,,
467,First Data,"5565 Glenridge Connector NE Suite 2000 Atlanta, GA 30342",303-967-8000,,,
468,GE Money,"4125 Windward Plaza Drive Alpharetta, GA 30005-8738",678-518-2000,,,
469,Georgia Power,"241 Ralph McGill Blvd, NW Bin # 10220 Atlanta, GA 30308-3374",404-506-3440,,,
470,Infor,"13560 Morris Rd. Suite 4100 Alpharetta, GA 30004",866-244-5479,678-319-8682 fax,,
471,Integrative Logic,"150 East Ponce DeLeon Avenue - Suite 235 Decatur, GA 30030",404-373-2323,404-373-2399 fax,,
472,IPG,"2545 Ivy Street E. Cumming, GA 30041-6459",770-889-4276,770-889-4002 fax,,
473,"L2C, Inc.","3348 Peachtree Road, NE Suite 1400 Atlanta, GA 30326",404-601-3420,,,
474,ListK,"NorthPark Center, 1200 Abernathy Road Suite 1700 Atlanta, GA 30328",800-600-3389,770-234-5955 fax,,
475,MailChimp,"512 Means Street Suite 404 Atlanta, GA 30318",678-999-0141,678-999-0142 fax,,
476,Marc G. Gault Advertising & Marketing Consulting,"5380 Smoke Rise Drive Suite B Stone Mountain, GA 30087",770-938-0781,,,
477,"Naylor, LLC","12600 Deerfield Parkway, Ste 350 Atlanta, GA 30004",800-796-2638,770-810-6995 fax,,
478,"Newell Rubbermaid, Inc.","3 Glenlake Parkway Atlanta, GA 30328",770-418-7000,,,
479,"North American Mailing Technologies, Inc","141 B Buford Dr Lawrenceville, GA 30045",770-962-5833,770-277-8168 fax,,
480,North Point Resources,"3157 Royal Dr Ste 220 Alpharetta, GA 30022-2484",678-892-5000,,,
481,"O2 Consulting, Inc.","1117 Perimeter Center West Ste. W511 Atlanta, GA 30338",404-384-3990,770-391-0590 fax,,
482,"PossibleNOW, Inc.","4400 River Green Parkway Suite 100 Duluth, GA 30096",770-255-1020,770-255-1025 fax,,
483,Printed Communications,"1929 Mountain Industrial Blvd Tucker, GA 30084-6620",888-511-8787,,,
484,Private Label Nutraceuticals,"3610 Dekalb Technology Parkway, Suite 13 Atlanta, GA 30340",678-328-3700,,,
485,Response Mine Interactive,"3390 PeachTree RD. Suite 800 Atlanta, GA 30326",404-233-0370,,,
486,Scheduling Institute,"4125 Old Milton Parkway Alpharetta, GA 30005",770-518-7575,,,
487,"SunTrust Banks, Inc.","303 Peachtree Center Ave. Suite 320 Atlanta, GA 30303-1280",404-588-7914,,,
488,Target MarkeTeam,"1050 Crown Point Pkwy. Ste. 1850 Atlanta, GA 30338-7709",770-274-3700,770-274-3730 fax,,
489,United Community Bank,"63 Highway 51 S Blairsville, GA 30512",706-745-0911,,,
490,"Welcomemat Services, Inc.","3348 Peachtree Rd Suite 1095 Atlanta, GA 30326",404-841-2226,,,
491,Wise,"555 McFarland 400 Drive Alpharetta, GA 30004",770-442-1060,770-442-9849 fax,,
492,"DataCraft, Inc.","28 Kainehe St. Suite A1 Kailua, HI 96734",808-263-5583,808-230-8885 fax,...Giving You MoreWe offer your company expert data processing designed to convert customer database files into clean and valuable marketing...,http://www.dcraftinc.com
493,KNG Inc.,"2102 E. Karcher Rd Nampa, ID 83687",208-318-0188,,,
494,SalesForce.com/Jigsaw,"510 S. Clearwater Loop Suite 201 Post Falls, ID 83854",650-235-8400,650-655-2222 fax,,
495,A. Eicoff & Company,"401 N. Michigan Chicago, IL 60611-4255",312-527-7100,312-527-7197 fax,"...We are proud of our name and what it represents. Vision. Original thinking,And sucess. They are Alvin Eicoff's legacy.Alvin created...",http://www.eicoff.com
496,Alterian,"35 East Wacker Drive Suite 200 Chicago, IL 60601",312-704-1700,312-704-1701 fax,"...About Alterian Alterian (LSE: ALN) empowers marketers with an integrated marketing software platform combining database, online and operational marketing applications on...",http://www.alterian.com
497,"American Student Marketing, LLC","473 Central Avenue Suite 7 Highland Park, IL 60035",847-432-4329,847-432-4811 fax,...American Student Marketing is the premiere and exclusive source of the Scholarships.com Masterfile; youth and young adult data composed only...,http://www.asmdm.com
498,Applications Development Corporation,"169 Buena Vista Drive Dekalb, IL 60115",815-754-7432,303-484-0374 fax,"...Founded in 1995, ADC s focus has been on the multi-channel retail sector crossing all elements of an organization including...",http://www.appdevcorp.com
499,"ATP List Services, div Applied Tech Pub.","1300 S. Grove Ave. Ste. 105 Barrington, IL 60010-5246",800-223-3423,847-304-8603 fax,"...ATP List Services is a provider of business-to-business direct-mail lists and e-mail lists. We pride ourselves on superior customer service,...",http://www.atplists.com
500,Bennett and Partners,"33 West Monroe Suite 2110 Chicago, IL 60603-5414",312-252-8883,312-252-8209 fax,"...Welcome to Bennett and Partners—a leading executive search firm focused on today's emerging integrated marketing trends. There’s a new game on...",http://www.bennettandpartners.com
501,BFC,"1051 N. Kirk Road Batavia, IL 60510-1438",630-879-9240,630.879.9260 fax,"...BFC's company philosophy centers around Integrated Print Management. We combine over 30 years of print production services with the latest...",http://www.bfcprint.com
502,Black Olive Co.,"125 South Wacker Drive Suite #300 Chicago, IL 60606-4424",312-893-5454,312-276-8636 fax,"...Strategy and creative development for integrated communications: brand, direct marketing, web, database, internet advertising and business communications. Over thirty years...",http://www.blackoliveco.com
503,Cbsi,"1620 Bond Street Naperville, IL 60563",800-657-8309,,......,http://consumerbenefit.com
504,Continental Envelope,"1700 Averill Rd Geneva, IL 60134",630-262-8080,630-262-1450 fax,...Continental Envelope is one of the largest independent envelope manufacturers in the Midwest. With our state-of-the-art facility we can...,http://www.continentalenvelope.com
505,Diamondback Direct,"280 Madsen Drive, Suite 100 Bloomingdale, IL 60108-2637",630-523-5250,630-523-5298 fax,...Diamond Marketing Solutions is a full-service partner offering a unique team of professionals who have a depth of experience that...,http://www.dmsolutions.com
506,Euro RSCG Impact,"36 E. Grand Avenue Chicago, IL 60611",312-799-7000,312-799-7100 fax,"...Euro RSCG Impact has an unparalleled proprietary network of over 250,000 venues, reaching over 100 million consumers. We create customized, targeted...",http://www.eurorscg-impact.com
507,"Global Business Information Services, Inc (GLOBIS)","1820 North Lincoln Ave. Chicago, IL 60614",877-456-2478,877-456-2478 fax,"...Globis specializes in China business information, though we cover the whole world. We do Business Credit Reports, Due Diligence, Site...",http://www.glo-bis.com
508,Inferenda,"15129 S. Route 59 Plainfield, IL 60544",815-467-0601,,"...Superior Data, Delivered by Superior Technology. How do you keep your data - whether customer, prospect, or resale - up to...",http://www.inferenda.com
509,Integrated Print & Graphics,"645 Stevenson Road South Elgin, IL 60177-1134",847-695-6777,847-741-4090 fax,...IPG is a full service print provider specializing in direct mail. Since opening our doors in 1970 we knew...,http://www.ipandginc.com
510,"Johnson & Quin, Inc.","7460 North Lehigh Avenue Niles, IL 60714-4099",847-588-4800,847-647-6949 fax,"...Full service direct mail production company. Services include data processing, high-color printing, laser and inkjet personalization, card imaging and...",http://www.j-quin.com
511,KD Mailing & Fulfillment Service,"6850 N. Central Park Ave. Lincolnwood, IL 60712-2704",847-673-0186,847-673-0188 fax,"...KD Mailing is a full-service print, global mailing services, fulfillment center and direct mail firm. We have been in business...",http://www.kdmailing.com
512,Lehigh Direct,"1900 South 25th Avenue Broadview, IL 60155-2800",708-681-3612,708-681-4694 fax,...We are a direct marketing company with unique and sophisticated highly personalized products for direct marketing applications. Our knowledgeable employees...,http://www.lehighdirect.com/?utm_source=DMA%2BVend
513,mardevdm2,"2000 Clearwater Dr. Oak Brook, IL 60523-8809",800-323-4958,630-288-8390 fax,"...Direct Marketing to Decision Makers. DM2-DecisionMaker(DM2) helps marketing and sales professionals increase their campaign effectiveness and accelerate their prospects' buying...",http://www.mardevdm2.com
514,MarketSense,"7020 High Grove Burr Ridge, IL 60527",630-654-0170,630-654-0302 fax,"...MarketSense (www.market-sense.com) is a full-service business-to-business marketing agency located just outside of Chicago. For more than 20 years, MarketSense has...",http://www.market-sense.com
515,Mintel Comperemedia,"351 W Hubbard, 8th Floor Chicago, IL 60654",312-932-0400,312-932-0469 fax,"...Mintel Comperemedia® is a searchable competitive database tracking direct mail and print advertising in the United States and Canada, as...",http://www.comperemedia.com
516,Omeda,"555 Huehl Road Northbrook, IL 60062-2336",847-564-8900,847-564-1203 fax,...Omeda provides a full range of integrated database marketing and email deployment services. Omeda integrates all of your data...,http://www.omeda.com
517,PPS,"3915 Stern Ave. Saint Charles, IL 60174-5441",630-513-8060,630-513-8062 fax,"...PPS specializes in print production of inserts, self mailers, letters, post cards with coupons, discount cards, and membership cards affixed....",http://www.ppsofil.com
518,Ridenour & Associates,"1555 N. Sandburg Terrace Suite 602 Chicago, IL 60610-6324",312-787-8228,312-787-8528 fax,"... Suzanne Swenson Ridenour, founder and president, has tirelessly served direct marketing since the mid-1970s. Among other...",http://www.ridenourassociates.com
519,Segerdahl Group,"1351 South Wheeling Road Wheeling, IL 60090-5913",847-541-1080,,"...You've got big ideas. And large-scale aspirations. So much depends on great execution. So choose a web printing resource that...",http://www.segerdahl.com
520,Specialty Print Communications,"6019 West Howard Street Niles, IL 60714-4801",847-588-2580,847-588-2178 fax,"...SPC is a third generation, family-run print and direct mail specialist. Our breadth of capabilities and expertise, along with our...",http://www.specialtyprintcomm.com
521,Spectrum Data,"131 N 3rd St Oregon, IL 61061-1410",815-732-6567,815-732-7035 fax,...Many firms offer similar data services. The difference comes down to service. See why Spectrum stands apart in a crowded...,http://www.spectrumdata.org
522,SRDS,"1700 Higgins Road Des Plaines, IL 60018-5605",847-375-5178,847-375-5001 fax,...SRDS has been bringing the media community together for nearly 90 years. As the leading provider of media rates and...,http://www.srds.com
523,"Strategic Data Intelligence, LLC","555 Skokie Blvd Northbrook, IL 60062-2812",847-897-5706,847-897-5715 fax,...Strategic Data Intelligence: Setting the Standard Even Higher.Strategic Data Intelligence (SDIntelligence) is uniquely positioned as the premier cutting edge Marketing...,http://www.sdintelligence.com
524,Strategic Marketing & Mailing,"PO Box 6013 Champaign, IL 61826-6013",217-355-2600 ext 106,217-355-2627 fax,"...Experience the Strategic Difference! Quality, Accuracy, Attention to Detail and Exceptional Customer Service. Let our team help improve your results...",http://www.strategicmail.com
525,"SubscriberMail, LLC","3333 Warrenville Rd. Ste. 530 Lisle, IL 60532-4551",866-622-2600,630-303-5100 fax,"...SubscriberMail's web-based email marketing platform was developed by a team of marketing experts, resulting in a user-friendly and intuitive system...",http://www.subscribermail.com?utm_source=DMA&utm_m
526,The Allant Group,"2056 Westings Ave. Suite 500 Naperville, IL 60563-2485",800-367-7311,630-355-3090 fax,"...Its all about performance. At Allant, we believe that todays marketers need innovative, yet practical, approaches to both improve and...",http://www.allantgroup.com
527,TRIBUNE DIRECT,"505 Northwest Avenue Northlake, IL 60164",708-836-2712,,......,http://www.tribunedirect.com
528,TTC Marketing Solutions,"3945 N. Neenah Ave. Chicago, IL 60634-2419",773-205-4903,773-545-4034 fax,"...TTC Marketing Solutions was started in March, 1984 by sisters Mary and Noreen Shanley. Located in Chicago, TTC can truly...",http://www.ttcmarketingsolutions.com
529,Victor Envelope,"301 Arthur Ct Bensenville, IL 60106-3381",630-616-2750,,"...Victor Envelope Company specializes in custom envelope manufacturing with unsurpassed delivery times. Incorporated in 1959, we have always prided ourselves...",http://www.victorenvelope.com/ve/html/
530,Vmark,"220 Fencl Ln. Hillside, IL 60162-2039",800-773-1588,708-449-3282 fax,"...Creative Automation has developed innovative solutions in support of direct marketers since 1969. We are a privately-held, woman owned and...",http://www.vmarkusa.com/
531,Zephyr Media Group,"990 Grove Street, Suite 300 Evanston, IL 60201",847-328-1519,847-328-3518 fax,"...Zephyr Media Group, headquartered in Evanston, IL and with offices in New York, Washington D.C, Los Angeles and Phoenix, was...",http://www.zephyr-media.com
532,Ace Hardware Corporation,"2200 Kensington Ct Oak Brook, IL 60523-2100",630-990-6600,,,
533,"Afni, Inc.","404 Brock Drive Bloomington, IL 61701",800-767-2364,,,
534,"Allstate Motor Club, Inc.","51 W Higgins Rd Ste RGA South Barrington, IL 60010-9300",847-551-2300,,,
535,"Alzheimer's Association","225 N. Michigan Ave. Chicago, IL 60601-7757",312-335-8700,,,
536,American Assn. of Individual Investors,"625 N Michigan Ave Chicago, IL 60611-3110",312-280-0170,,,
537,American Medical Association,"515 N. State Street Chicago, IL 60654",312-464-5366,,,
538,Anthem Marketing Corporation,"117 North Jefferson Street Suite 204 Chicago, IL 60661-2322",312-441-0382,312-441-0412 fax,,
539,ASI Ltd.,"736 Northwestern Suite 245 Lake Forest, IL 60045-1820",800-546-1350,847-615-9658 fax,,
540,Aspen Marketing Services,"1240 North Avenue West Chicago, IL 60185",800-848-0212,630-293-9602 fax,,
541,Beltone Electronics Corporation,"2601 Patriot Blvd Glenview, IL 60026-8023",847-832-3729,,,
542,Benet Academy,"2200 Maple Avenue Lisle, IL 60532",630-719-2794,,,
543,"Braintree Payment Solutions, LLC.","833 West Jackson Blvd. Chicago, IL 60607",,,,
544,"CAC Group, Inc.","1870 N. Roselle Rd. Suite 101 Schaumburg, IL 60195-3100",847-805-9802,,,
545,Career Education Corporation,"2895 Greenspoint Pkwy Ste 600 Hoffman Estates, IL 60169-7258",847-781-3600,,,
546,Caterpillar Inc.,"100 NE Adams St Peoria, IL 61629-0002",309-675-1000,,,
547,CDW,"300 N Milwaukee Ave Vernon Hills, IL 60061-1533",847-465-6000,,,
548,Christianity Today International,"465 Gundersen Dr. Carol Stream, IL 60188",630-260-6200,,,
549,Combined Insurance Company of America,"1000 Milwaukee Ave Fl 6 Glenview, IL 60025-2423",1-800-490-1322,,,
550,Creative Automation,"220 Fencil Lane Hillside, IL 60162-2040",708-449-2800,847-619-0490 fax,,
